Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Dillon Brooks (32200504),Dillon Brooks,32200504,SG/SF/F/G/UTIL,5200,MIL@HOU 01/06/2024 08:00PM ET,HOU,22.52
SG,Malik Beasley (32200509),Malik Beasley,32200509,SG/G/UTIL,5200,MIL@HOU 01/06/2024 08:00PM ET,MIL,21.75
PG,Keyonte George (32200631),Keyonte George,32200631,PG/G/UTIL,5000,UTA@PHI 01/06/2024 07:30PM ET,UTA,22.60
C,Mo Bamba (32200546),Mo Bamba,32200546,C/UTIL,4900,UTA@PHI 01/06/2024 07:30PM ET,PHI,9.64
SG/SF,Jae'Sean Tate (32200497),Jae'Sean Tate,32200497,SG/SF/F/G/UTIL,4900,MIL@HOU 01/06/2024 08:00PM ET,HOU,13.3
PF/C,John Collins (32200512),John Collins,32200512,PF/C/F/UTIL,4800,UTA@PHI 01/06/2024 07:30PM ET,UTA,27.90
PF/C,Kelly Olynyk (32200433),Kelly Olynyk,32200433,PF/C/F/UTIL,4600,UTA@PHI 01/06/2024 07:30PM ET,UTA,23.96
PG/SF,Kris Dunn (32200467),Kris Dunn,32200467,PG/SF/F/G/UTIL,4400,UTA@PHI 01/06/2024 07:30PM ET,UTA,15.84
PF,Nicolas Batum (32200418),Nicolas Batum,32200418,PF/F/UTIL,4300,UTA@PHI 01/06/2024 07:30PM ET,PHI,16.31
SF/PF,Pat Connaughton (32200460),Pat Connaughton,32200460,SF/PF/F/UTIL,4200,MIL@HOU 01/06/2024 08:00PM ET,MIL,14.32
PG/SG,Amen Thompson (32200643),Amen Thompson,32200643,PG/SG/G/UTIL,4000,MIL@HOU 01/06/2024 08:00PM ET,HOU,13.60
PG,Patrick Beverley (32200415),Patrick Beverley,32200415,PG/G/UTIL,3900,UTA@PHI 01/06/2024 07:30PM ET,PHI,13.38
PG/SG,Talen Horton-Tucker (32200553),Talen Horton-Tucker,32200553,PG/SG/G/UTIL,3800,UTA@PHI 01/06/2024 07:30PM ET,UTA,23.42
PG,Cameron Payne (32200483),Cameron Payne,32200483,PG/G/UTIL,3700,MIL@HOU 01/06/2024 08:00PM ET,MIL,12.38
PF,Jae Crowder (32200448),Jae Crowder,32200448,PF/F/UTIL,3600,MIL@HOU 01/06/2024 08:00PM ET,MIL,18.36
SF,Cam Whitmore (32200637),Cam Whitmore,32200637,SF/F/UTIL,3600,MIL@HOU 01/06/2024 08:00PM ET,HOU,12.08
SF/PF,Marcus Morris Sr. (32200424),Marcus Morris Sr.,32200424,SF/PF/F/UTIL,3500,UTA@PHI 01/06/2024 07:30PM ET,PHI,12.03
PF/C,Jeff Green (32200407),Jeff Green,32200407,PF/C/F/UTIL,3500,MIL@HOU 01/06/2024 08:00PM ET,HOU,11.18
PF,Robert Covington (32200437),Robert Covington,32200437,PF/F/UTIL,3400,UTA@PHI 01/06/2024 07:30PM ET,PHI,13.87
C,Jock Landale (32200502),Jock Landale,32200502,C/UTIL,3400,MIL@HOU 01/06/2024 08:00PM ET,HOU,5.98
SG/SF,Marjon Beauchamp (32200622),Marjon Beauchamp,32200622,SG/SF/F/G/UTIL,3400,MIL@HOU 01/06/2024 08:00PM ET,MIL,10.27
SF,Danuel House Jr. (32200464),Danuel House Jr.,32200464,SF/F/UTIL,3300,UTA@PHI 01/06/2024 07:30PM ET,PHI,6.70
PG,Aaron Holiday (32200516),Aaron Holiday,32200516,PG/G/UTIL,3300,MIL@HOU 01/06/2024 08:00PM ET,HOU,13.52
SG/SF,Ochai Agbaji (32200557),Ochai Agbaji,32200557,SG/SF/F/G/UTIL,3200,UTA@PHI 01/06/2024 07:30PM ET,UTA,13.67
SG,Jaden Springer (32200587),Jaden Springer,32200587,SG/G/UTIL,3100,UTA@PHI 01/06/2024 07:30PM ET,PHI,8
PG/SF,Andre Jackson Jr. (32200579),Andre Jackson Jr.,32200579,PG/SF/F/G/UTIL,3100,MIL@HOU 01/06/2024 08:00PM ET,MIL,6.22
SG,Furkan Korkmaz (32200519),Furkan Korkmaz,32200519,SG/G/UTIL,3000,UTA@PHI 01/06/2024 07:30PM ET,PHI,4.12
C,Omer Yurtseven (32200524),Omer Yurtseven,32200524,C/UTIL,3000,UTA@PHI 01/06/2024 07:30PM ET,UTA,11.42
C,Micah Potter (32200526),Micah Potter,32200526,C/UTIL,3000,UTA@PHI 01/06/2024 07:30PM ET,UTA,2.5
PF/C,Luka Samanic (32200569),Luka Samanic,32200569,PF/C/F/UTIL,3000,UTA@PHI 01/06/2024 07:30PM ET,UTA,6.38
SG,Johnny Juzang (32200573),Johnny Juzang,32200573,SG/G/UTIL,3000,UTA@PHI 01/06/2024 07:30PM ET,UTA,1.5
PG,Josh Christopher (32200584),Josh Christopher,32200584,PG/G/UTIL,3000,UTA@PHI 01/06/2024 07:30PM ET,UTA,0
C,Kenneth Lofton Jr. (32200590),Kenneth Lofton Jr.,32200590,C/UTIL,3000,UTA@PHI 01/06/2024 07:30PM ET,PHI,5.67
SG,Ricky Council IV (32200596),Ricky Council IV,32200596,SG/G/UTIL,3000,UTA@PHI 01/06/2024 07:30PM ET,PHI,0
PF,KJ Martin (32200601),KJ Martin,32200601,PF/F/UTIL,3000,UTA@PHI 01/06/2024 07:30PM ET,PHI,4.32
PG,Terquavion Smith (32200613),Terquavion Smith,32200613,PG/G/UTIL,3000,UTA@PHI 01/06/2024 07:30PM ET,PHI,0
PF/C,Taylor Hendricks (32200627),Taylor Hendricks,32200627,PF/C/F/UTIL,3000,UTA@PHI 01/06/2024 07:30PM ET,UTA,11.77
SG,Brice Sensabaugh (32200640),Brice Sensabaugh,32200640,SG/G/UTIL,3000,UTA@PHI 01/06/2024 07:30PM ET,UTA,1.88
C,Robin Lopez (32200413),Robin Lopez,32200413,C/UTIL,3000,MIL@HOU 01/06/2024 08:00PM ET,MIL,1.78
SG/SF,Reggie Bullock Jr. (32200443),Reggie Bullock Jr.,32200443,SG/SF/F/G/UTIL,3000,MIL@HOU 01/06/2024 08:00PM ET,HOU,4.61
PG,Victor Oladipo (32200455),Victor Oladipo,32200455,PG/G/UTIL,3000,MIL@HOU 01/06/2024 08:00PM ET,HOU,0
C,Boban Marjanovic (32200458),Boban Marjanovic,32200458,C/UTIL,3000,MIL@HOU 01/06/2024 08:00PM ET,HOU,7.31
PF/C,Thanasis Antetokounmpo (32200488),Thanasis Antetokounmpo,32200488,PF/C/F/UTIL,3000,MIL@HOU 01/06/2024 08:00PM ET,MIL,2.20
C,Marques Bolden (32200522),Marques Bolden,32200522,C/UTIL,3000,MIL@HOU 01/06/2024 08:00PM ET,MIL,1.25
PG,Lindell Wigginton (32200536),Lindell Wigginton,32200536,PG/G/UTIL,3000,MIL@HOU 01/06/2024 08:00PM ET,MIL,1.83
PF,Jermaine Samuels (32200543),Jermaine Samuels,32200543,PF/F/UTIL,3000,MIL@HOU 01/06/2024 08:00PM ET,HOU,4.83
SG,Nate Hinton (32200550),Nate Hinton,32200550,SG/G/UTIL,3000,MIL@HOU 01/06/2024 08:00PM ET,HOU,4.25
SG,Jeenathan Williams (32200562),Jeenathan Williams,32200562,SG/G/UTIL,3000,MIL@HOU 01/06/2024 08:00PM ET,HOU,4.5
PG/SG,AJ Green (32200565),AJ Green,32200565,PG/SG/G/UTIL,3000,MIL@HOU 01/06/2024 08:00PM ET,MIL,5.38
PG,TyTy Washington Jr. (32200616),TyTy Washington Jr.,32200616,PG/G/UTIL,3000,MIL@HOU 01/06/2024 08:00PM ET,MIL,2.88
PF,Chris Livingston (32200634),Chris Livingston,32200634,PF/F/UTIL,3000,MIL@HOU 01/06/2024 08:00PM ET,MIL,3.03
