Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (32200475),Giannis Antetokounmpo,32200475,PF/C/F/UTIL,11700,MIL@HOU 01/06/2024 08:00PM ET,MIL,59.08
C,Joel Embiid (32200486),Joel Embiid,32200486,C/UTIL,11500,UTA@PHI 01/06/2024 07:30PM ET,PHI,65.23
PG,Damian Lillard (32200421),Damian Lillard,32200421,PG/G/UTIL,8800,MIL@HOU 01/06/2024 08:00PM ET,MIL,44.01
C,Alperen Sengun (32200611),Alperen Sengun,32200611,C/UTIL,8600,MIL@HOU 01/06/2024 08:00PM ET,HOU,44.09
PG,Tyrese Maxey (32200576),Tyrese Maxey,32200576,PG/G/UTIL,8300,UTA@PHI 01/06/2024 07:30PM ET,PHI,43.89
PG,Fred VanVleet (32200472),Fred VanVleet,32200472,PG/G/UTIL,8200,MIL@HOU 01/06/2024 08:00PM ET,HOU,39.83
SF/PF,Lauri Markkanen (32200532),Lauri Markkanen,32200532,SF/PF/F/UTIL,8000,UTA@PHI 01/06/2024 07:30PM ET,UTA,41.12
SG/SF,Khris Middleton (32200428),Khris Middleton,32200428,SG/SF/F/G/UTIL,7500,MIL@HOU 01/06/2024 08:00PM ET,MIL,29.38
SF/PF,Tobias Harris (32200451),Tobias Harris,32200451,SF/PF/F/UTIL,6900,UTA@PHI 01/06/2024 07:30PM ET,PHI,32.45
PG/SG,De'Anthony Melton (32200528),De'Anthony Melton,32200528,PG/SG/G/UTIL,6600,UTA@PHI 01/06/2024 07:30PM ET,PHI,26.82
SG,Jalen Green (32200604),Jalen Green,32200604,SG/G/UTIL,6600,MIL@HOU 01/06/2024 08:00PM ET,HOU,29.56
PF,Jabari Smith Jr. (32200619),Jabari Smith Jr.,32200619,PF/F/UTIL,6600,MIL@HOU 01/06/2024 08:00PM ET,HOU,29.5
C,Brook Lopez (32200411),Brook Lopez,32200411,C/UTIL,6400,MIL@HOU 01/06/2024 08:00PM ET,MIL,28.71
SG,Jordan Clarkson (32200440),Jordan Clarkson,32200440,SG/G/UTIL,6300,UTA@PHI 01/06/2024 07:30PM ET,UTA,31.65
SF/PF,Tari Eason (32200592),Tari Eason,32200592,SF/PF/F/UTIL,6100,MIL@HOU 01/06/2024 08:00PM ET,HOU,25.01
PG/SG,Collin Sexton (32200539),Collin Sexton,32200539,PG/SG/G/UTIL,5900,UTA@PHI 01/06/2024 07:30PM ET,UTA,26.21
PF/C,Bobby Portis (32200479),Bobby Portis,32200479,PF/C/F/UTIL,5900,MIL@HOU 01/06/2024 08:00PM ET,MIL,25.09
SG/SF,Kelly Oubre Jr. (32200492),Kelly Oubre Jr.,32200492,SG/SF/F/G/UTIL,5800,UTA@PHI 01/06/2024 07:30PM ET,PHI,23.41
C,Paul Reed (32200548),Paul Reed,32200548,C/UTIL,5700,UTA@PHI 01/06/2024 07:30PM ET,PHI,15.25
C,Walker Kessler (32200599),Walker Kessler,32200599,C/UTIL,5400,UTA@PHI 01/06/2024 07:30PM ET,UTA,26.84
SF/PF,Simone Fontecchio (32200607),Simone Fontecchio,32200607,SF/PF/F/UTIL,5300,UTA@PHI 01/06/2024 07:30PM ET,UTA,17.63
