Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,DeAndre Jordan (32206818),DeAndre Jordan,32206818,C/UTIL,4100,DET@DEN 01/07/2024 08:00PM ET,DEN,14.39
SF/PF,Isaiah Livers (32206827),Isaiah Livers,32206827,SF/PF/F/UTIL,4100,DET@DEN 01/07/2024 08:00PM ET,DET,10.37
PF/C,Trey Lyles (32206823),Trey Lyles,32206823,PF/C/F/UTIL,4100,NOP@SAC 01/07/2024 06:00PM ET,SAC,17
PF,Naji Marshall (32206831),Naji Marshall,32206831,PF/F/UTIL,4100,NOP@SAC 01/07/2024 06:00PM ET,NOP,17.69
SF,Vince Williams Jr. (32206834),Vince Williams Jr.,32206834,SF/F/UTIL,4100,MEM@PHX 01/07/2024 08:00PM ET,MEM,16.32
SG,Gary Harris (32206820),Gary Harris,32206820,SG/G/UTIL,4100,ATL@ORL 01/07/2024 06:00PM ET,ORL,14.5
SG/SF,Christian Braun (32206839),Christian Braun,32206839,SG/SF/F/G/UTIL,4000,DET@DEN 01/07/2024 08:00PM ET,DEN,16.68
SG/SF,Chris Duarte (32206847),Chris Duarte,32206847,SG/SF/F/G/UTIL,4000,NOP@SAC 01/07/2024 06:00PM ET,SAC,9.20
PG,Jose Alvarado (32206852),Jose Alvarado,32206852,PG/G/UTIL,4000,NOP@SAC 01/07/2024 06:00PM ET,NOP,15.94
SF/PF,Kyle Anderson (32206855),Kyle Anderson,32206855,SF/PF/F/UTIL,4000,MIN@DAL 01/07/2024 07:30PM ET,MIN,19.25
PG/SG,Seth Curry (32206865),Seth Curry,32206865,PG/SG/G/UTIL,4000,MIN@DAL 01/07/2024 07:30PM ET,DAL,10.79
PG,Derrick Rose (32206859),Derrick Rose,32206859,PG/G/UTIL,4000,MEM@PHX 01/07/2024 08:00PM ET,MEM,16.32
SF,Josh Okogie (32206862),Josh Okogie,32206862,SF/F/UTIL,4000,MEM@PHX 01/07/2024 08:00PM ET,PHX,14.37
PG,Trevelin Queen (32206844),Trevelin Queen,32206844,PG/G/UTIL,4000,ATL@ORL 01/07/2024 06:00PM ET,ORL,14.92
C,Kevon Looney (32206837),Kevon Looney,32206837,C/UTIL,4000,TOR@GSW 01/07/2024 08:30PM ET,GSW,19.47
C,Marvin Bagley III (32206869),Marvin Bagley III,32206869,C/UTIL,3900,DET@DEN 01/07/2024 08:00PM ET,DET,18.36
C,Drew Eubanks (32206871),Drew Eubanks,32206871,C/UTIL,3900,MEM@PHX 01/07/2024 08:00PM ET,PHX,14.79
PF,Bol Bol (32206873),Bol Bol,32206873,PF/F/UTIL,3800,MEM@PHX 01/07/2024 08:00PM ET,PHX,7.58
SF/PF,Joe Ingles (32206876),Joe Ingles,32206876,SF/PF/F/UTIL,3800,ATL@ORL 01/07/2024 06:00PM ET,ORL,15.27
SF,Gary Payton II (32206880),Gary Payton II,32206880,SF/F/UTIL,3800,TOR@GSW 01/07/2024 08:30PM ET,GSW,13.12
SG/SF,Nickeil Alexander-Walker (32206883),Nickeil Alexander-Walker,32206883,SG/SF/F/G/UTIL,3700,MIN@DAL 01/07/2024 07:30PM ET,MIN,15.74
SG/SF,Julian Strawther (32206888),Julian Strawther,32206888,SG/SF/F/G/UTIL,3600,DET@DEN 01/07/2024 08:00PM ET,DEN,11.07
SG/SF,AJ Lawson (32206897),AJ Lawson,32206897,SG/SF/F/G/UTIL,3600,MIN@DAL 01/07/2024 07:30PM ET,DAL,8.88
SF/PF,Ziaire Williams (32206893),Ziaire Williams,32206893,SF/PF/F/UTIL,3600,MEM@PHX 01/07/2024 08:00PM ET,MEM,15.33
C,Zeke Nnaji (32206902),Zeke Nnaji,32206902,C/UTIL,3500,DET@DEN 01/07/2024 08:00PM ET,DEN,8.57
C,James Wiseman (32206912),James Wiseman,32206912,C/UTIL,3500,DET@DEN 01/07/2024 08:00PM ET,DET,13.93
SF/PF,Olivier-Maxence Prosper (32206908),Olivier-Maxence Prosper,32206908,SF/PF/F/UTIL,3500,MIN@DAL 01/07/2024 07:30PM ET,DAL,7.59
SF/PF,Keita Bates-Diop (32206904),Keita Bates-Diop,32206904,SF/PF/F/UTIL,3500,MEM@PHX 01/07/2024 08:00PM ET,PHX,12.81
PG,Cory Joseph (32206914),Cory Joseph,32206914,PG/G/UTIL,3500,TOR@GSW 01/07/2024 08:30PM ET,GSW,5.97
SF/PF,Ausar Thompson (32206917),Ausar Thompson,32206917,SF/PF/F/UTIL,3400,DET@DEN 01/07/2024 08:00PM ET,DET,23.8
PF/C,Markieff Morris (32206921),Markieff Morris,32206921,PF/C/F/UTIL,3400,MIN@DAL 01/07/2024 07:30PM ET,DAL,7.30
C,Bruno Fernando (32206925),Bruno Fernando,32206925,C/UTIL,3400,ATL@ORL 01/07/2024 06:00PM ET,ATL,6.14
SG/SF,Moses Moody (32206927),Moses Moody,32206927,SG/SF/F/G/UTIL,3400,TOR@GSW 01/07/2024 08:30PM ET,GSW,15.19
PG,Killian Hayes (32206942),Killian Hayes,32206942,PG/G/UTIL,3300,DET@DEN 01/07/2024 08:00PM ET,DET,20.87
PG/SG,Davion Mitchell (32206938),Davion Mitchell,32206938,PG/SG/G/UTIL,3300,NOP@SAC 01/07/2024 06:00PM ET,SAC,8.5
PG,Jordan McLaughlin (32206945),Jordan McLaughlin,32206945,PG/G/UTIL,3300,MIN@DAL 01/07/2024 07:30PM ET,MIN,6.95
PG,Jordan Goodwin (32206932),Jordan Goodwin,32206932,PG/G/UTIL,3300,MEM@PHX 01/07/2024 08:00PM ET,PHX,15.15
SF,Admiral Schofield (32206935),Admiral Schofield,32206935,SF/F/UTIL,3300,ATL@ORL 01/07/2024 06:00PM ET,ORL,2.23
SG/SF,Justin Holiday (32206948),Justin Holiday,32206948,SG/SF/F/G/UTIL,3200,DET@DEN 01/07/2024 08:00PM ET,DEN,10.09
C,Alex Len (32206957),Alex Len,32206957,C/UTIL,3200,NOP@SAC 01/07/2024 06:00PM ET,SAC,9.22
PF,Greg Brown (32206959),Greg Brown,32206959,PF/F/UTIL,3200,MIN@DAL 01/07/2024 07:30PM ET,DAL,6.46
SF/PF,Nassir Little (32206953),Nassir Little,32206953,SF/PF/F/UTIL,3200,MEM@PHX 01/07/2024 08:00PM ET,PHX,11.20
PF,David Roddy (32206962),David Roddy,32206962,PF/F/UTIL,3200,MEM@PHX 01/07/2024 08:00PM ET,MEM,15.08
PG,Trent Forrest (32206965),Trent Forrest,32206965,PG/G/UTIL,3200,ATL@ORL 01/07/2024 06:00PM ET,ATL,6.65
SG,Jordan Hawkins (32206973),Jordan Hawkins,32206973,SG/G/UTIL,3100,NOP@SAC 01/07/2024 06:00PM ET,NOP,17.27
SG/SF,Garrison Mathews (32206968),Garrison Mathews,32206968,SG/SF/F/G/UTIL,3100,ATL@ORL 01/07/2024 06:00PM ET,ATL,6.19
PG,Jalen Pickett (32206988),Jalen Pickett,32206988,PG/G/UTIL,3000,DET@DEN 01/07/2024 08:00PM ET,DEN,4.42
PG,Collin Gillespie (32206991),Collin Gillespie,32206991,PG/G/UTIL,3000,DET@DEN 01/07/2024 08:00PM ET,DEN,4.23
PF,Braxton Key (32206994),Braxton Key,32206994,PF/F/UTIL,3000,DET@DEN 01/07/2024 08:00PM ET,DEN,3.4
SF/PF,Hunter Tyson (32206997),Hunter Tyson,32206997,SF/PF/F/UTIL,3000,DET@DEN 01/07/2024 08:00PM ET,DEN,1.22
C,Jay Huff (32207001),Jay Huff,32207001,C/UTIL,3000,DET@DEN 01/07/2024 08:00PM ET,DEN,2
PF,Vlatko Cancar (32207003),Vlatko Cancar,32207003,PF/F/UTIL,3000,DET@DEN 01/07/2024 08:00PM ET,DEN,0
PG/SG,Marcus Sasser (32207095),Marcus Sasser,32207095,PG/SG/G/UTIL,3000,DET@DEN 01/07/2024 08:00PM ET,DET,14.24
SG,Joe Harris (32207099),Joe Harris,32207099,SG/G/UTIL,3000,DET@DEN 01/07/2024 08:00PM ET,DET,5.60
PF,Jared Rhoden (32207102),Jared Rhoden,32207102,PF/F/UTIL,3000,DET@DEN 01/07/2024 08:00PM ET,DET,4.4
SF,Malcolm Cazalon (32207105),Malcolm Cazalon,32207105,SF/F/UTIL,3000,DET@DEN 01/07/2024 08:00PM ET,DET,0
SG,Stanley Umude (32207108),Stanley Umude,32207108,SG/G/UTIL,3000,DET@DEN 01/07/2024 08:00PM ET,DET,9.47
PG,Monte Morris (32207111),Monte Morris,32207111,PG/G/UTIL,3000,DET@DEN 01/07/2024 08:00PM ET,DET,0
SF/PF,Sasha Vezenkov (32207029),Sasha Vezenkov,32207029,SF/PF/F/UTIL,3000,NOP@SAC 01/07/2024 06:00PM ET,SAC,10.96
SF/PF,Juan Toscano-Anderson (32207033),Juan Toscano-Anderson,32207033,SF/PF/F/UTIL,3000,NOP@SAC 01/07/2024 06:00PM ET,SAC,1.78
SF/PF,Kessler Edwards (32207037),Kessler Edwards,32207037,SF/PF/F/UTIL,3000,NOP@SAC 01/07/2024 06:00PM ET,SAC,3.06
PG,Jordan Ford (32207041),Jordan Ford,32207041,PG/G/UTIL,3000,NOP@SAC 01/07/2024 06:00PM ET,SAC,3
PF,Jalen Slawson (32207044),Jalen Slawson,32207044,PF/F/UTIL,3000,NOP@SAC 01/07/2024 06:00PM ET,SAC,2.6
PG,Keon Ellis (32207047),Keon Ellis,32207047,PG/G/UTIL,3000,NOP@SAC 01/07/2024 06:00PM ET,SAC,10.06
SG,Colby Jones (32207050),Colby Jones,32207050,SG/G/UTIL,3000,NOP@SAC 01/07/2024 06:00PM ET,SAC,4.88
C,JaVale McGee (32207053),JaVale McGee,32207053,C/UTIL,3000,NOP@SAC 01/07/2024 06:00PM ET,SAC,10
PG,Kira Lewis Jr. (32207160),Kira Lewis Jr.,32207160,PG/G/UTIL,3000,NOP@SAC 01/07/2024 06:00PM ET,NOP,6.68
C,E.J. Liddell (32207163),E.J. Liddell,32207163,C/UTIL,3000,NOP@SAC 01/07/2024 06:00PM ET,NOP,2.67
SG/SF,Dereon Seabron (32207165),Dereon Seabron,32207165,SG/SF/F/G/UTIL,3000,NOP@SAC 01/07/2024 06:00PM ET,NOP,7.05
C,Cody Zeller (32207170),Cody Zeller,32207170,C/UTIL,3000,NOP@SAC 01/07/2024 06:00PM ET,NOP,7.68
